                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.84624,                 0.9477,                 1.1176,                  1.056,                 2.3182,                 1.1791,                0.69231,                    0.4,                  0.675,                0.51683,                 0.7454,                 1.7523,                 1.1317,                0.73412,                 4.9522,                 1.2431,              0.0015743,              0.0015743,              0.0015743
                     46,                0.84226,                0.96839,                 1.1466,                 1.0653,                 2.5332,                 1.2662,                0.95871,                    0.3,                0.42253,                0.35373,                0.70354,                 1.9647,                 1.1822,                0.79846,                 5.0092,                 1.3392,              0.0015644,              0.0015644,              0.0015644
                     47,                0.95992,                0.93753,                 1.0696,                 1.0657,                 2.1642,                 1.1163,                0.99644,                    0.3,                0.45376,                0.34796,                 1.0188,                 2.4203,                 1.6809,                0.98743,                 4.9716,                 1.4398,              0.0015545,              0.0015545,              0.0015545
                     48,                0.80144,                0.96109,                 1.1136,                0.99483,                  2.464,                 1.2739,                0.44998,                    0.2,                0.34309,                0.26016,                 1.2958,                 2.5107,                 2.5349,                 1.0411,                 5.2479,                 1.5279,              0.0015446,              0.0015446,              0.0015446
                     49,                  1.077,                 1.0241,                 1.1495,                 1.2059,                 2.4986,                 1.1963,                0.44998,                    0.2,                0.34309,                0.26016,                 1.2958,                 2.5107,                 2.5349,                 1.0411,                 5.2479,                 1.5279,              0.0015347,              0.0015347,              0.0015347
                     50,                0.95603,                 0.8689,                 1.0723,                 1.0828,                 2.2317,                 1.1472,                0.55617,                    0.2,                0.32619,                0.23699,                 1.9207,                 2.4913,                 3.2197,                 1.7616,                 5.5714,                  2.322,              0.0015248,              0.0015248,              0.0015248
                     51,                0.95846,                0.97392,                 1.1356,                  1.052,                 2.2516,                 1.0931,                0.62467,                  0.337,                 0.4688,                0.31537,                 1.4014,                 2.1817,                 2.0779,                 1.3519,                  5.132,                 1.7764,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.1214,                 1.0501,                 1.3085,                 1.2533,                  2.665,                 1.3817,                0.81976,                0.45928,                0.54683,                0.39524,                 1.3107,                 2.0843,                 1.8752,                 1.1671,                 4.8948,                 2.0227,               0.001505,               0.001505,               0.001505
                     53,                0.87704,                 0.9194,                 1.1583,                 1.0124,                 2.3061,                 1.1929,                0.81976,                0.45928,                0.54683,                0.39524,                 1.3107,                 2.0843,                 1.8752,                 1.1671,                 4.8948,                 2.0227,              0.0014951,              0.0014951,              0.0014951
                     54,                0.93369,                0.88992,                 1.1139,                 1.1077,                 1.9981,                 1.1421,                0.74056,                0.28867,                0.47274,                0.36953,                 1.1159,                 2.0196,                 1.7281,                 1.0365,                 4.7934,                 1.4605,              0.0014852,              0.0014852,              0.0014852
                     55,                0.85327,                0.86149,                 1.0739,                 1.0066,                 2.0597,                 1.1181,                0.65455,                    0.3,                0.48498,                 0.3137,                0.84573,                 1.7183,                 1.2829,                0.75999,                 4.6109,                 1.2329,              0.0014753,              0.0014753,              0.0014753
                     56,                0.78997,                0.79707,                 1.0691,                0.92829,                 2.0166,                 1.1203,                0.73265,                0.55142,                0.68294,                0.50135,                0.64505,                 1.4736,                 1.0331,                 0.6046,                 4.0855,                 1.0762,              0.0014654,              0.0014654,              0.0014654
                     57,                0.90306,                0.96368,                 1.1782,                 1.2382,                 2.2969,                 1.2945,                0.73265,                0.55142,                0.68294,                0.50135,                0.64505,                 1.4736,                 1.0331,                 0.6046,                 4.0855,                 1.0762,              0.0014555,              0.0014555,              0.0014555
                     58,                0.90141,                 0.8366,                 1.1107,                 1.0495,                 1.8921,                 1.1417,                0.87867,                    0.5,                0.63637,                0.54967,                0.62526,                 1.7917,                 1.0347,                 0.6427,                 3.8308,                 1.1419,              0.0014456,              0.0014456,              0.0014456
                     59,                0.86163,                0.87978,                 1.0844,                0.95841,                 1.9637,                 1.0694,                0.72114,                    0.7,                 0.7464,                0.62354,                0.57935,                 1.9088,                 1.0032,                0.59905,                 3.6639,                 1.0901,              0.0014357,              0.0014357,              0.0014357
                     60,                0.82789,                0.93612,                 1.0846,                0.87468,                 2.1454,                 1.0811,                0.79782,                 0.7902,                0.83095,                0.68518,                0.56686,                 1.5463,                0.96873,                0.61787,                 3.4682,                 1.0042,              0.0014258,              0.0014258,              0.0014258
                     61,                0.80034,                0.83537,                 1.0611,                 0.8934,                 1.8869,                 1.0922,                0.79782,                 0.7902,                0.83095,                0.68518,                0.56686,                 1.5463,                0.96873,                0.61787,                 3.4682,                 1.0042,              0.0014159,              0.0014159,              0.0014159
                     62,                0.90216,                0.85707,                 1.1067,                0.99717,                 1.9082,                 1.1043,                0.82665,                    0.7,                0.84196,                0.65199,                 0.6988,                  1.424,                 1.0597,                0.84745,                 3.3617,                 1.2692,               0.001406,               0.001406,               0.001406
                     63,                0.84905,                0.81379,                 1.0527,                0.96722,                 1.7863,                 1.0325,                      1,                0.67728,                0.81327,                0.61592,                 0.7214,                 1.4094,                 1.1046,                0.78121,                 3.5714,                 1.1938,              0.0013961,              0.0013961,              0.0013961
                     64,                0.86613,                0.82325,                 1.1247,                 0.9878,                 1.7614,                 1.1541,                0.92958,                    0.7,                0.79573,                0.71025,                0.52582,                 1.5497,                0.92913,                0.61229,                 3.4479,                0.99627,              0.0013862,              0.0013862,              0.0013862
                     65,                0.70567,                0.74571,                  1.012,                0.86873,                 1.7187,                 1.0503,                0.92958,                    0.7,                0.79573,                0.71025,                0.52582,                 1.5497,                0.92913,                0.61229,                 3.4479,                0.99627,              0.0013763,              0.0013763,              0.0013763
                     66,                0.87008,                 0.8062,                 1.1164,                0.98124,                 1.5665,                 1.1298,                0.79537,                0.77918,                0.80226,                 0.6666,                0.58496,                 1.6263,                0.97226,                0.65383,                 3.3968,                0.97732,              0.0013664,              0.0013664,              0.0013664
                     67,                0.81378,                0.80652,                 1.1393,                0.85918,                 1.5877,                 1.1307,                 0.7613,                0.95878,                0.90385,                0.56772,                 1.2956,                  2.357,                 1.7089,                  1.305,                 3.5198,                 1.5826,              0.0013565,              0.0013565,              0.0013565
                     68,                0.73831,                 0.7417,                 1.0117,                0.93184,                 1.6648,                 1.1033,                0.89241,                0.83166,                0.91346,                0.55639,                 1.4372,                 1.9348,                 1.8242,                  1.269,                 3.6441,                 1.5556,              0.0013466,              0.0013466,              0.0013466
                     69,                0.76032,                0.73935,                 1.0473,                0.92877,                 1.5623,                  1.107,                0.89241,                0.83166,                0.91346,                0.55639,                 1.4372,                 1.9348,                 1.8242,                  1.269,                 3.6441,                 1.5556,              0.0013367,              0.0013367,              0.0013367
                     70,                0.79537,                0.73647,                 1.0638,                0.92588,                 1.4676,                 1.1128,                      1,                0.98324,                  0.995,                  0.788,                0.85439,                 1.4504,                 1.1461,                 0.9018,                  2.791,                 1.0885,              0.0013268,              0.0013268,              0.0013268
                     71,                0.87312,                0.91986,                 1.1372,                0.98543,                 1.9186,                 1.2158,                 0.9988,                      1,                  0.995,                 0.7808,                0.63367,                0.96763,                 1.0097,                0.77642,                 2.5705,                  1.009,              0.0013169,              0.0013169,              0.0013169
                     72,                0.87616,                0.77935,                 1.1387,                0.99062,                 1.7223,                 1.1769,                0.99736,                      1,                  0.995,                0.80245,                0.69225,                0.97103,                 1.1117,                0.71174,                 2.5104,                   1.02,               0.001307,               0.001307,               0.001307
                     73,                0.66567,                0.65153,                0.99084,                0.73259,                 1.3425,                 1.0076,                0.99736,                      1,                  0.995,                0.80245,                0.69225,                0.97103,                 1.1117,                0.71174,                 2.5104,                   1.02,              0.0012971,              0.0012971,              0.0012971
                     74,                0.78954,                0.77938,                 1.0932,                0.85059,                 1.6474,                 1.1173,                0.98925,                    0.8,                0.96167,                0.67304,                0.85866,                0.97649,                  1.268,                0.80138,                 2.9394,                  1.108,              0.0012872,              0.0012872,              0.0012872
                     75,                0.77057,                0.70286,                 1.0326,                0.85986,                 1.5153,                 1.0363,                0.81638,                0.89008,                0.93556,                 0.7812,                0.75556,                0.93523,                 1.1266,                0.78715,                 2.6234,                 1.0408,              0.0012773,              0.0012773,              0.0012773
                     76,                0.70259,                0.70526,                 1.0763,                0.84298,                 1.5942,                 1.1424,                0.81157,                    0.9,                0.94167,                0.78815,                0.56624,                0.82441,                0.96583,                0.65661,                 2.4975,                 0.9883,              0.0012674,              0.0012674,              0.0012674
                     77,                0.69312,                0.63114,                 1.0011,                0.77134,                 1.3228,                 1.0071,                0.81157,                    0.9,                0.94167,                0.78815,                0.56624,                0.82441,                0.96583,                0.65661,                 2.4975,                 0.9883,              0.0012575,              0.0012575,              0.0012575
                     78,                0.68026,                 0.6438,                0.96857,                0.75626,                 1.4795,                   1.03,                0.87884,                    0.9,                0.94167,                0.80492,                 0.5119,                0.78061,                0.93127,                0.65007,                 2.3242,                0.98255,              0.0012476,              0.0012476,              0.0012476
                     79,                0.78737,                0.65384,                 1.0081,                0.98129,                  1.293,                 1.0404,                0.89948,                0.89534,                 0.9475,                0.81486,                0.54336,                0.77113,                 0.9495,                0.66414,                 2.2552,                0.99172,              0.0012377,              0.0012377,              0.0012377
                     80,                0.73501,                0.73716,                   1.05,                0.87639,                 1.6696,                 1.0863,                0.89405,                    0.9,                0.96192,                0.86303,                0.54351,                0.71935,                0.94887,                 0.5765,                 2.0689,                0.99127,              0.0012278,              0.0012278,              0.0012278
                     81,                0.79956,                0.74911,                 1.1088,                 0.9474,                 1.5662,                  1.191,                0.89405,                    0.9,                0.96192,                0.86303,                0.54351,                0.71935,                0.94887,                 0.5765,                 2.0689,                0.99127,              0.0012179,              0.0012179,              0.0012179
                     82,                0.75993,                0.65595,                 1.0566,                0.89663,                 1.3309,                 1.1119,                0.89034,                    0.9,                0.95167,                0.84364,                0.54476,                0.64186,                0.94122,                0.54352,                 2.0064,                0.96544,               0.001208,               0.001208,               0.001208
